Local.Time.YYYY,Local.Time.MM,Local.Time.DD,Local.Time.HH24,Local.Time.MI,Precipitation.since.last.observation.in.mm,Wind.speed.in.km.h,Wind.direction.in.degrees.true,Temperature.in.Degrees.c,Relative.Humidity,Station.Number
2020,6,10,1,0,0.4,1.54691635565526,103.242200216744,9.45903372027459,108.982531194626,16096
2020,6,10,1,1,0.2,2.04688245983224,7.33774070907384,12.1395168476623,78.0613991272355,16096
2020,6,10,1,2,0.2,10.836889024589,38.0232309685089,16.4879784582474,101.571735237335,16096
2020,6,10,1,3,0.3,7.95003560814968,37.2783098251093,13.0445615935886,88.3442304796291,16096
2020,6,10,1,4,0.2,6.83137411652606,352.450632720953,16.4473551637405,95.575298233367,16096
2020,6,10,1,5,0.1,21.5749604584312,336.368853507563,13.7357730108377,94.6616973454034,16096
2020,6,10,1,6,0,14.8486081113316,251.411884877831,16.4774030588171,74.5161950267207,16096
2020,6,10,1,7,0.2,15.9451286635169,235.333819817286,15.6231222348305,54.9611315086624,16096
2020,6,10,1,8,0.4,8.66566896876426,16.0798492915928,12.5085381571755,70.1083821699944,16096
2020,6,10,1,9,0,2.61441864524934,178.351200530538,13.8103671039805,48.1354902990932,16096
2020,6,10,1,10,0.3,3.51307051813867,29.5982562063728,19.187434477008,51.6412726289254,16096
2020,6,10,1,11,0,1.71189747244586,95.1640601269901,14.3637551829609,41.6518511163128,16096
2020,6,10,1,12,0.3,16.1454308989068,12.0088128743228,20.9441872736337,45.1274141073235,16096
2020,6,10,1,13,0,7.51616148033108,38.5240644398145,14.9285916121314,42.3894278916864,16096
2020,6,10,1,14,0.1,7.93030809867275,355.882847136119,16.4070687609448,34.4184754853098,16096
2020,6,10,1,15,0.2,7.99855944344161,215.461952955462,15.0049233995871,34.3552486706047,16096
2020,6,10,1,16,0.3,5.67496517992171,330.982283043209,12.6609334555437,33.2041893479495,16096
2020,6,10,1,17,0.2,15.5732968347395,188.245295139262,11.896874819395,37.0578752909008,16096
2020,6,10,1,18,0,11.5355756689064,140.52529568621,14.0609338302107,63.1548345906755,16096
2020,6,10,1,19,0.1,0.542109427669942,349.526907019317,12.7961438399357,69.5038072032535,16096
2020,6,10,1,20,0.1,4.85993959442861,58.873137795832,12.4249942701184,78.893372270341,16096
2020,6,10,1,21,0.2,15.7097372342618,124.464514496736,16.7808413188572,87.4941530303701,16096
2020,6,10,1,22,0,17.900803256509,108.704202546738,13.1950688061069,102.68392292197,16096
2020,6,10,1,23,0,2.94852609690927,160.264705835609,15.6389326355358,85.7184760272459,16096
2020,6,10,1,24,0.6,7.98548153072022,229.166487031616,17.6387532446673,80.0108561563888,16096
2020,6,10,1,25,0.2,8.02589949710867,31.0065985200927,14.371120894167,111.436755441604,16096
2020,6,10,1,26,0.2,0.0765431305912561,152.135540549411,13.1399482337309,97.9963529184211,16096
2020,6,10,1,27,0.1,7.34720775922564,184.384103635093,18.0936262667312,106.058862846478,16096
2020,6,10,1,28,0.3,2.73983500798182,203.683742791414,14.8597682387605,98.461300955983,16096
2020,6,10,1,29,0.1,5.10961913404882,237.065419225721,10.9663713254096,93.3677733031207,16096
2020,6,10,1,30,0,8.38866015634791,265.235788658494,8.61405485380234,66.8074617057112,16096
2020,6,10,1,31,0.2,4.28009518839194,251.258150378475,17.7443315670744,57.2912594130423,16096
2020,6,10,1,32,0.4,4.58725294008233,195.399810967036,12.3418907010998,63.2005518839378,16096
2020,6,10,1,33,0.3,6.54822277444234,232.173460410209,19.878903904505,50.9674005621789,16096
2020,6,10,1,34,0.1,21.9148041051029,194.01254834095,11.5719663653927,46.7285416843632,16096
2020,6,10,1,35,0.2,2.83278767214521,233.23225066415,11.3498246287114,40.6595501115203,16096
2020,6,10,1,36,0.1,9.70587696052037,19.457581050694,19.5719177718591,36.4791424939775,16096
2020,6,10,1,37,0.1,2.73408326012863,168.58966536168,17.8091557641992,30.8928754846471,16096
2020,6,10,1,38,0,9.91355877312592,270.90353240422,14.7568347689646,40.9443319224953,16096
2020,6,10,1,39,0.2,3.83924365020248,240.615088803461,15.6114867741872,36.7167746047973,16096
